Date,District,Murder,Target Killing,Murder during Robbery ,Suicide Bombing/Bomb Blast,Highway Robbery,Bank Robbery,Car Snatching,Gang Rape,Total
10-01-19,Karachi South,4,0,0,0,0,0,0,1,5
10-01-19,Karachi East,15,0,3,0,3,0,11,1,33
10-01-19,Karachi west,5,0,1,0,0,0,1,1,8
10-01-19,Karachi Central,7,0,1,0,0,0,2,0,10
11-01-19,Karachi South,8,0,0,0,0,0,0,0,8
11-01-19,Karachi East,9,0,4,0,4,0,12,2,31
11-01-19,Karachi west,5,0,2,0,0,0,0,2,9
11-01-19,Karachi Central,4,0,0,0,0,0,1,2,7
12-01-19,Karachi South,4,0,0,0,0,0,1,0,5
12-01-19,Karachi East,10,0,1,0,4,0,1,2,18
12-01-19,Karachi west,7,0,1,0,0,0,0,3,11
12-01-19,Karachi Central,1,0,0,0,0,0,1,0,2
01-01-20,Karachi South,5,0,0,0,0,0,1,0,6
01-01-20,Karachi East,16,0,0,0,3,0,3,1,23
01-01-20,Karachi west,8,0,0,0,0,0,0,0,8
01-01-20,Karachi Central,4,0,0,0,0,0,1,1,6
02-01-20,Karachi South,2,0,0,0,0,0,1,1,4
02-01-20,Karachi East,9,0,1,0,1,0,5,3,19
02-01-20,Karachi west,4,0,1,0,0,0,0,1,6
02-01-20,Karachi Central,2,0,0,0,0,0,1,1,4
03-01-20,Karachi South,5,0,0,0,0,0,1,1,7
03-01-20,Karachi East,16,0,0,0,1,0,5,1,23
03-01-20,Karachi west,8,0,0,0,0,0,1,1,10
03-01-20,Karachi Central,4,0,0,0,0,0,1,0,5
04-01-20,Karachi South,3,0,1,0,0,0,0,0,4
04-01-20,Karachi East,12,0,1,0,0,0,2,2,17
04-01-20,Karachi west,8,0,1,0,0,0,0,0,9
04-01-20,Karachi Central,0,0,1,0,0,0,0,0,1
05-01-20,Karachi South,2,0,1,0,0,0,0,0,3
05-01-20,Karachi East,11,0,1,0,0,1,6,0,19
05-01-20,Karachi west,9,0,0,0,0,0,1,1,11
05-01-20,Karachi Central,6,0,0,0,0,0,0,0,6
06-01-20,Karachi South,6,0,0,0,0,0,1,1,8
06-01-20,Karachi East,21,0,3,0,0,0,6,2,32
06-01-20,Karachi west,10,0,2,0,0,0,0,1,13
06-01-20,Karachi Central,5,0,1,0,0,0,1,0,7
07-01-20,Karachi South,8,0,0,0,0,0,2,0,10
07-01-20,Karachi East,14,0,1,0,3,0,8,1,27
07-01-20,Karachi west,11,0,0,0,0,0,1,0,12
07-01-20,Karachi Central,6,0,1,0,0,0,1,1,9
08-01-20,Karachi South,6,0,0,0,0,0,0,0,6
08-01-20,Karachi East,22,0,4,0,1,0,6,2,35
08-01-20,Karachi west,10,0,0,0,0,0,0,0,10
08-01-20,Karachi Central,3,0,1,0,0,0,0,0,4
09-01-20,Karachi South,5,0,0,0,0,0,3,3,11
09-01-20,Karachi East,11,0,4,0,0,0,8,8,31
09-01-20,Karachi west,6,0,1,0,0,0,2,3,12
09-01-20,Karachi Central,6,0,2,0,0,0,5,1,14
10-01-20,Karachi South,5,0,0,0,0,0,0,0,5
10-01-20,Karachi East,19,0,3,0,2,0,5,7,36
10-01-20,Karachi west,10,0,1,0,0,0,3,1,15
10-01-20,Karachi Central,4,0,0,0,0,0,2,0,6
11-01-20,Karachi South,1,0,0,0,0,0,0,0,1
11-01-20,Karachi East,20,0,1,0,2,0,7,1,31
11-01-20,Karachi west,18,0,0,0,0,0,1,1,20
11-01-20,Karachi Central,0,0,0,0,0,0,1,0,1
