Date,District,Murder,Target Killing,Murder during Robbery ,Suicide Bombing/Bomb Blast,Highway Robbery,Bank Robbery,Car Snatching,Gang Rape,Total
10-01-19,Baldia Town,48,12,44,17,17,49,49,32,28
10-01-19,Gulberg Town,28,44,6,43,28,36,35,17,45
10-01-19,Gulshan Town,28,41,5,9,4,45,14,42,22
10-01-19,Gadap Town,27,1,45,10,37,37,16,43,49
11-01-19,Baldia Town,2,11,10,44,11,50,12,16,46
11-01-19,Gulberg Town,17,47,8,35,17,32,26,44,14
11-01-19,Gulshan Town,20,39,3,31,28,30,24,1,17
11-01-19,Gadap Town,23,30,41,16,31,9,44,14,2
12-01-19,Baldia Town,27,19,23,22,5,1,10,49,35
12-01-19,Gulberg Town,16,5,33,35,42,17,9,28,46
12-01-19,Gulshan Town,14,18,42,44,2,44,7,2,42
12-01-19,Gadap Town,44,33,43,4,36,2,29,38,47
01-01-20,Baldia Town,38,32,45,5,34,28,8,38,29
01-01-20,Gulberg Town,36,26,1,25,37,0,22,20,11
01-01-20,Gulshan Town,48,40,39,35,14,46,40,46,1
01-01-20,Gadap Town,49,2,9,37,14,9,13,31,18
02-01-20,Baldia Town,22,14,10,1,18,20,45,35,25
02-01-20,Gulberg Town,29,11,29,21,23,36,42,35,23
02-01-20,Gulshan Town,15,36,47,23,39,38,22,4,45
02-01-20,Gadap Town,23,50,17,14,10,44,17,2,8
03-01-20,Baldia Town,24,5,0,36,26,20,33,27,8
03-01-20,Gulberg Town,18,32,5,19,0,16,24,19,28
03-01-20,Gulshan Town,49,50,6,6,42,12,0,27,40
03-01-20,Gadap Town,1,30,4,32,3,37,16,48,50
04-01-20,Baldia Town,11,33,31,47,7,11,41,2,16
04-01-20,Gulberg Town,26,32,45,44,42,12,42,41,21
04-01-20,Gulshan Town,34,43,5,1,32,25,14,33,4
04-01-20,Gadap Town,39,30,46,19,26,19,41,3,1
05-01-20,Baldia Town,12,46,1,11,0,26,36,7,44
05-01-20,Gulberg Town,43,41,8,32,47,40,14,9,28
05-01-20,Gulshan Town,22,49,28,34,47,30,49,28,45
05-01-20,Gadap Town,29,24,34,7,21,22,42,22,4
06-01-20,Baldia Town,0,11,0,10,10,27,43,46,21
06-01-20,Gulberg Town,23,24,34,8,24,18,8,41,35
06-01-20,Gulshan Town,37,39,19,14,8,45,48,49,19
06-01-20,Gadap Town,48,3,18,0,34,24,46,0,36
07-01-20,Baldia Town,19,46,41,27,13,13,0,28,46
